

酒店测试频道,#genre#
山东卫视,http://120.84.96.103:808/hls/132/index.m3u8
山东卫视,http://120.84.96.33:808/hls/132/index.m3u8
安徽卫视,http://120.84.96.33:808/hls/131/index.m3u8
安徽卫视,http://120.84.96.103:808/hls/131/index.m3u8
安徽卫视,http://120.84.96.109:808/hls/131/index.m3u8
辽宁卫视,http://120.84.96.109:808/hls/133/index.m3u8
辽宁卫视,http://120.84.96.103:808/hls/133/index.m3u8
辽宁卫视,http://120.84.96.33:808/hls/133/index.m3u8
河北卫视,http://120.84.96.33:808/hls/135/index.m3u8
河北卫视,http://120.84.96.103:808/hls/135/index.m3u8
河北卫视,http://120.84.96.109:808/hls/135/index.m3u8
吉林卫视,http://120.84.96.109:808/hls/136/index.m3u8
吉林卫视,http://120.84.96.103:808/hls/136/index.m3u8
吉林卫视,http://120.84.96.33:808/hls/136/index.m3u8
龙,http://120.84.96.33:808/hls/139/index.m3u8
龙,http://120.84.96.103:808/hls/139/index.m3u8
龙,http://120.84.96.109:808/hls/139/index.m3u8
东南卫视,http://120.84.96.109:808/hls/141/index.m3u8
东南卫视,http://120.84.96.103:808/hls/141/index.m3u8
东南卫视,http://120.84.96.33:808/hls/141/index.m3u8
天津,http://120.84.96.33:808/hls/149/index.m3u8
天津,http://120.84.96.103:808/hls/149/index.m3u8
天津,http://120.84.96.109:808/hls/149/index.m3u8
江西卫视,http://120.84.96.109:808/hls/152/index.m3u8
江西卫视,http://120.84.96.103:808/hls/152/index.m3u8
江西卫视,http://120.84.96.33:808/hls/152/index.m3u8
北京卫视,http://120.84.96.33:808/hls/153/index.m3u8
北京卫视,http://120.84.96.103:808/hls/153/index.m3u8
北京卫视,http://120.84.96.109:808/hls/153/index.m3u8
重庆卫视,http://120.84.96.109:808/hls/163/index.m3u8
重庆卫视,http://120.84.96.103:808/hls/163/index.m3u8
重庆卫视,http://120.84.96.33:808/hls/163/index.m3u8
四川卫视,http://120.84.96.33:808/hls/165/index.m3u8
四川卫视,http://120.84.96.103:808/hls/165/index.m3u8
四川卫视,http://120.84.96.109:808/hls/165/index.m3u8
嘉佳卡通,http://120.84.96.109:808/hls/171/index.m3u8
嘉佳卡通,http://120.84.96.103:808/hls/171/index.m3u8
嘉佳卡通,http://120.84.96.33:808/hls/171/index.m3u8

星空,http://120.84.96.103:808/hls/79/index.m3u8


ipv6频道,#genre#
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb24]/ott.mobaibox.com/PLTV/4/224/3221228527/index.m3u8
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb27]/ott.mobaibox.com/PLTV/4/224/3221228524/index.m3u8

cctv-1,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
cctv-1,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226304/index.m3u8
cctv-1,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226706/index.m3u8
cctv-2,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226569/index.m3u8
cctv-2,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226466/index.m3u8
cctv-2,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226306/index.m3u8
cctv-3,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226461/index.m3u8
cctv-3,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226308/index.m3u8
